id,totalCost,neighbourhood,bedrooms,url
894471079,2889,Serra,2,https://www.quintoandar.com.br/imovel/894471079/
894484817,2989,Sagrada Família,3,https://www.quintoandar.com.br/imovel/894484817/
893004067,2147,São Lucas,2,https://www.quintoandar.com.br/imovel/893004067/
894471683,1935,Sagrada Família,2,https://www.quintoandar.com.br/imovel/894471683/
893945989,2756,Sion,4,https://www.quintoandar.com.br/imovel/893945989/
893688883,2127,Sagrada Família,2,https://www.quintoandar.com.br/imovel/893688883/
893088686,2219,Floresta,2,https://www.quintoandar.com.br/imovel/893088686/
894477930,1872,Sagrada Família,3,https://www.quintoandar.com.br/imovel/894477930/
894488641,2770,Funcionários,2,https://www.quintoandar.com.br/imovel/894488641/
894488658,2686,São Lucas,2,https://www.quintoandar.com.br/imovel/894488658/
894407528,2625,Santa Tereza,3,https://www.quintoandar.com.br/imovel/894407528/
894488633,3000,Santa Efigênia,2,https://www.quintoandar.com.br/imovel/894488633/
892944087,1868,Sagrada Família,2,https://www.quintoandar.com.br/imovel/892944087/
894450337,1962,Alto Barroca,2,https://www.quintoandar.com.br/imovel/894450337/
894493149,2619,Alto Barroca,3,https://www.quintoandar.com.br/imovel/894493149/
892931586,1956,Sagrada Família,3,https://www.quintoandar.com.br/imovel/892931586/
893096381,2861,Gutierrez,3,https://www.quintoandar.com.br/imovel/893096381/
893747734,2093,Santa Efigênia,2,https://www.quintoandar.com.br/imovel/893747734/
894415419,2757,Sagrada Família,3,https://www.quintoandar.com.br/imovel/894415419/
894498209,2642,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/894498209/
894468458,2860,Floresta,3,https://www.quintoandar.com.br/imovel/894468458/
894497541,2892,Cidade Jardim,3,https://www.quintoandar.com.br/imovel/894497541/
894390619,2624,Anchieta,2,https://www.quintoandar.com.br/imovel/894390619/
893213925,2696,Sagrada Família,3,https://www.quintoandar.com.br/imovel/893213925/
894497327,1897,Sagrada Família,2,https://www.quintoandar.com.br/imovel/894497327/
